Date;Time;Fraction1;Operation;Fraction2;Result
05-08-2021; 13:06:03; 4/15; +; 21/10; 2 11/30
05-08-2021; 13:06:11; 4/15; -; 21/10; -11/6
05-08-2021; 13:06:35; 4/15; *; 21/10; 14/25
05-08-2021; 13:06:43; 4/15; /; 21/10; 8/63
05-08-2021; 15:10:42; 4/15; +; 21/10; 2 11/30
05-08-2021; 16:06:11; 4/15; *; 21/10; 14/25
05-08-2021; 17:06:36; 4/15; -; 21/10; -11/6
